"","SampleID","Name","Plant_ID","Type","Experiment","Cohort","Harvested","Age","Site","Treatment","Line","Genotype","Block","oldPlate","newPlate","Analysis","alpha"
"48","M1981P578","8_0392.root","8_0392","root","ecotypes","2008","2011","3","Mah","field","JAM.7.B","JAM","8_09","p206","M1981","Ecotypes",5.50772050660261
"49","M1980P506","8_0393.leaf","8_0393","leaf","ecotypes","2008","2011","3","Mah","field","PAR.13.A","PAR","8_09","p205","M1980","Ecotypes",4.0541983260634
"50","M1981P631","8_0393.root","8_0393","root","ecotypes","2008","2011","3","Mah","field","PAR.13.A","PAR","8_09","p206","M1981","Ecotypes",5.6733402894519
"51","M1980P461","8_0398.leaf","8_0398","leaf","ecotypes","2008","2011","3","Mah","field","SILupper.2","SIL","8_09","p205","M1980","Ecotypes",2.46314748124687
"52","M1982P667","8_0398.root","8_0398","root","ecotypes","2008","2011","3","Mah","field","SILupper.2","SIL","8_09","p207","M1982","Ecotypes",5.23450855150711
"53","M1980P496","8_0419.leaf","8_0419","leaf","ecotypes","2008","2011","3","Mah","field","MAH.16.A","MAH","8_09","p205","M1980","Ecotypes",4.2147261681681
"54","M1982P707","8_0419.root","8_0419","root","ecotypes","2008","2011","3","Mah","field","MAH.16.A","MAH","8_09","p207","M1982","Ecotypes",5.61361945972557
"55","M1980P469","8_0424.leaf","8_0424","leaf","ecotypes","2008","2011","3","Mah","field","MIL.24.A","MIL","8_09","p205","M1980","Ecotypes",3.26159911429707
"56","M1980P486","8_0424.root","8_0424","root","ecotypes","2008","2011","3","Mah","field","MIL.24.A","MIL","8_09","p205","M1980","Ecotypes",5.42184172952304
"57","M1980P532","8_0430.leaf","8_0430","leaf","ecotypes","2008","2011","3","Mah","field","SILLow.7","SIL","8_09","p205","M1980","Ecotypes",3.1995024469244
"58","M1977P1714","8_0430.root","8_0430","root","ecotypes","2008","2011","3","Mah","field","SILLow.7","SIL","8_09","p217","M1977","Ecotypes",5.80472342016369
"59","M1981P597","8_0545.leaf","8_0545","leaf","ecotypes","2008","2011","3","Mah","field","SILLow.7","SIL","8_12","p206","M1981","Ecotypes",2.63575564365299
"60","M1977P1705","8_0545.root","8_0545","root","ecotypes","2008","2011","3","Mah","field","SILLow.7","SIL","8_12","p217","M1977","Ecotypes",5.71145350692524
"61","M1955P764","8_0546.leaf","8_0546","leaf","ecotypes","2008","2011","3","Mah","field","SILupper.2","SIL","8_12","p208","M1955","Ecotypes",4.64173997609534
"62","M1981P588","8_0546.root","8_0546","root","ecotypes","2008","2011","3","Mah","field","SILupper.2","SIL","8_12","p206","M1981","Ecotypes",5.62835051853518
"63","M1982P709","8_0560.leaf","8_0560","leaf","ecotypes","2008","2011","3","Mah","field","MIL.70.A","MIL","8_12","p207","M1982","Ecotypes",2.48105485057424
"64","M1980P475","8_0560.root","8_0560","root","ecotypes","2008","2011","3","Mah","field","MIL.70.A","MIL","8_12","p205","M1980","Ecotypes",5.23929601525183
"65","M1980P539","8_0561.leaf","8_0561","leaf","ecotypes","2008","2011","3","Mah","field","MAH.37.A","MAH","8_12","p205","M1980","Ecotypes",4.02647044521004
"66","M1982P645","8_0561.root","8_0561","root","ecotypes","2008","2011","3","Mah","field","MAH.37.A","MAH","8_12","p207","M1982","Ecotypes",5.48097733896316
"67","M1981P577","8_0573.leaf","8_0573","leaf","ecotypes","2008","2011","3","Mah","field","PAR.9.A1","PAR","8_12","p206","M1981","Ecotypes",1.50893983908913
"68","M1980P535","8_0573.root","8_0573","root","ecotypes","2008","2011","3","Mah","field","PAR.9.A1","PAR","8_12","p205","M1980","Ecotypes",5.49940297419411
"69","M1981P609","8_0589.leaf","8_0589","leaf","ecotypes","2008","2011","3","Jam","field","JAM.6.A","JAM","8_13","p206","M1981","Ecotypes",2.41024482263672
"70","M1554P132","8_0589.root","8_0589","root","ecotypes","2008","2011","3","Jam","field","JAM.6.A","JAM","8_13","p201","M1554","Ecotypes",5.29474623364473
"71","M1981P556","8_0593.leaf","8_0593","leaf","ecotypes","2008","2011","3","Jam","field","PAR.10.A6","PAR","8_13","p206","M1981","Ecotypes",0.444931081294283
"72","M1551P92","8_0593.root","8_0593","root","ecotypes","2008","2011","3","Jam","field","PAR.10.A6","PAR","8_13","p200","M1551","Ecotypes",5.29818559086089
"73","M1981P638","8_0608.leaf","8_0608","leaf","ecotypes","2008","2011","3","Jam","field","MAH.16.A","MAH","8_13","p206","M1981","Ecotypes",0.493868669357353
"74","M1551P67","8_0608.root","8_0608","root","ecotypes","2008","2011","3","Jam","field","MAH.16.A","MAH","8_13","p200","M1551","Ecotypes",4.95447285976087
"75","M1979P439","8_0609.leaf","8_0609","leaf","ecotypes","2008","2011","3","Jam","field","SILLow.2","SIL","8_13","p204","M1979","Ecotypes",1.99103620101704
"76","M1551P37","8_0609.root","8_0609","root","ecotypes","2008","2011","3","Jam","field","SILLow.2","SIL","8_13","p200","M1551","Ecotypes",4.89785082292887
"77","M1981P586","8_0612.leaf","8_0612","leaf","ecotypes","2008","2011","3","Jam","field","MIL.68.B","MIL","8_13","p206","M1981","Ecotypes",0.865748153323218
"78","M1555P256","8_0612.root","8_0612","root","ecotypes","2008","2011","3","Jam","field","MIL.68.B","MIL","8_13","p202","M1555","Ecotypes",5.47538088781357
"79","M1961P1298","8_0647.leaf","8_0647","leaf","ecotypes","2008","2011","3","Sil","field","JAM.26.A","JAM","8_14","p214","M1961","Ecotypes",2.71253671906664
"80","M1554P124","8_0647.root","8_0647","root","ecotypes","2008","2011","3","Sil","field","JAM.26.A","JAM","8_14","p201","M1554","Ecotypes",5.87582967132602
"81","M1955P814","8_0663.leaf","8_0663","leaf","ecotypes","2008","2011","3","Sil","field","PAR.13.A","PAR","8_14","p208","M1955","Ecotypes",4.20428709156349
"82","M1555P238","8_0663.root","8_0663","root","ecotypes","2008","2011","3","Sil","field","PAR.13.A","PAR","8_14","p202","M1555","Ecotypes",5.71124913763274
"83","M1961P1308","8_0672.leaf","8_0672","leaf","ecotypes","2008","2011","3","Sil","field","MIL.32.A1","MIL","8_14","p214","M1961","Ecotypes",3.41310762030263
"84","M1979P378","8_0672.root","8_0672","root","ecotypes","2008","2011","3","Sil","field","MIL.32.A1","MIL","8_14","p204","M1979","Ecotypes",5.92381499169217
"85","M1982P705","8_0773.leaf","8_0773","leaf","ecotypes","2008","2011","3","Jam","field","MAH.9.B","MAH","8_17","p207","M1982","Ecotypes",0.440181970467189
"86","M1555P212","8_0773.root","8_0773","root","ecotypes","2008","2011","3","Jam","field","MAH.9.B","MAH","8_17","p202","M1555","Ecotypes",5.09245143735028
"87","M1980P481","8_0775.leaf","8_0775","leaf","ecotypes","2008","2011","3","Jam","field","SILLow.5","SIL","8_17","p205","M1980","Ecotypes",4.42992472955078
"88","M1979P383","8_0775.root","8_0775","root","ecotypes","2008","2011","3","Jam","field","SILLow.5","SIL","8_17","p204","M1979","Ecotypes",5.28918613116413
"89","M1981P632","8_0776.leaf","8_0776","leaf","ecotypes","2008","2011","3","Jam","field","JAM.22.A","JAM","8_17","p206","M1981","Ecotypes",0.499437998492531
"90","M1555P240","8_0776.root","8_0776","root","ecotypes","2008","2011","3","Jam","field","JAM.22.A","JAM","8_17","p202","M1555","Ecotypes",4.85459980023393
"91","M1981P561","8_0790.leaf","8_0790","leaf","ecotypes","2008","2011","3","Jam","field","PAR.13.A","PAR","8_17","p206","M1981","Ecotypes",0.715640149138866
"92","M1554P128","8_0790.root","8_0790","root","ecotypes","2008","2011","3","Jam","field","PAR.13.A","PAR","8_17","p201","M1554","Ecotypes",5.19590003049121
"93","M1982P664","8_0803.leaf","8_0803","leaf","ecotypes","2008","2011","3","Jam","field","MIL.20.B","MIL","8_17","p207","M1982","Ecotypes",0.634587947045241
"94","M1978P356","8_0803.root","8_0803","root","ecotypes","2008","2011","3","Jam","field","MIL.20.B","MIL","8_17","p203","M1978","Ecotypes",5.04175326865165
"95","M1980P538","8_0821.leaf","8_0821","leaf","ecotypes","2008","2011","3","Mah","field","MAH.46.A","MAH","8_18","p205","M1980","Ecotypes",3.61172788734497
"96","M1980P499","8_0821.root","8_0821","root","ecotypes","2008","2011","3","Mah","field","MAH.46.A","MAH","8_18","p205","M1980","Ecotypes",5.48732744650321
"97","M1982P683","8_0828.leaf","8_0828","leaf","ecotypes","2008","2011","3","Mah","field","MIL.53.A","MIL","8_18","p207","M1982","Ecotypes",3.65359441097972
"98","M1980P507","8_0828.root","8_0828","root","ecotypes","2008","2011","3","Mah","field","MIL.53.A","MIL","8_18","p205","M1980","Ecotypes",5.23346569736258
"99","M1980P501","8_0833.leaf","8_0833","leaf","ecotypes","2008","2011","3","Mah","field","SILLow.7","SIL","8_18","p205","M1980","Ecotypes",3.19363552438702
"100","M1955P745","8_0833.root","8_0833","root","ecotypes","2008","2011","3","Mah","field","SILLow.7","SIL","8_18","p208","M1955","Ecotypes",5.7765420525979
"101","M1977P1711","8_0850.leaf","8_0850","leaf","ecotypes","2008","2011","3","Mah","field","PAR.29.B2","PAR","8_18","p217","M1977","Ecotypes",4.1515453814675
"102","M1980P476","8_0850.root","8_0850","root","ecotypes","2008","2011","3","Mah","field","PAR.29.B2","PAR","8_18","p205","M1980","Ecotypes",5.66889691415486
"103","M1982P646","8_0853.leaf","8_0853","leaf","ecotypes","2008","2011","3","Mah","field","JAM.6.A","JAM","8_18","p207","M1982","Ecotypes",1.98394326948534
"104","M1982P703","8_0853.root","8_0853","root","ecotypes","2008","2011","3","Mah","field","JAM.6.A","JAM","8_18","p207","M1982","Ecotypes",5.56635539415761
"105","M1981P584","8_0864.leaf","8_0864","leaf","ecotypes","2008","2011","3","Mah","field","SILupper.2","SIL","8_18","p206","M1981","Ecotypes",3.23951000721193
"106","M1980P470","8_0864.root","8_0864","root","ecotypes","2008","2011","3","Mah","field","SILupper.2","SIL","8_18","p205","M1980","Ecotypes",5.33092112428064
"107","M1956P899","8_0897.leaf","8_0897","leaf","ecotypes","2008","2011","3","Sil","field","MAH.46.A","MAH","8_19","p209","M1956","Ecotypes",3.11570580730679
"108","M1551P29","8_0897.root","8_0897","root","ecotypes","2008","2011","3","Sil","field","MAH.46.A","MAH","8_19","p200","M1551","Ecotypes",5.71088267281474
"109","M1959P1106","8_0898.leaf","8_0898","leaf","ecotypes","2008","2011","3","Sil","field","SILLow.2","SIL","8_19","p212","M1959","Ecotypes",3.95329554106612
"110","M1554P184","8_0898.root","8_0898","root","ecotypes","2008","2011","3","Sil","field","SILLow.2","SIL","8_19","p201","M1554","Ecotypes",5.71203968120994
"111","M1960P1238","8_0900.leaf","8_0900","leaf","ecotypes","2008","2011","3","Sil","field","PAR.22.A2","PAR","8_19","p213","M1960","Ecotypes",4.23834181741595
"112","M1555P276","8_0900.root","8_0900","root","ecotypes","2008","2011","3","Sil","field","PAR.22.A2","PAR","8_19","p202","M1555","Ecotypes",5.92344717629834
"113","M1955P767","8_0909.leaf","8_0909","leaf","ecotypes","2008","2011","3","Sil","field","MIL.70.A","MIL","8_19","p208","M1955","Ecotypes",3.22792568373881
"114","M1555P207","8_0909.root","8_0909","root","ecotypes","2008","2011","3","Sil","field","MIL.70.A","MIL","8_19","p202","M1555","Ecotypes",5.72873439994348
"115","M1956P873","8_0910.leaf","8_0910","leaf","ecotypes","2008","2011","3","Sil","field","JAM.16.A","JAM","8_19","p209","M1956","Ecotypes",3.22078239784803
"116","M1978P317","8_0910.root","8_0910","root","ecotypes","2008","2011","3","Sil","field","JAM.16.A","JAM","8_19","p203","M1978","Ecotypes",5.75342498176896
"117","M1980P510","8_0961.leaf","8_0961","leaf","ecotypes","2008","2011","3","Mah","field","SILupper.2","SIL","8_21","p205","M1980","Ecotypes",3.39801903768225
"118","M1980P513","8_0961.root","8_0961","root","ecotypes","2008","2011","3","Mah","field","SILupper.2","SIL","8_21","p205","M1980","Ecotypes",5.58547014234369
"119","M1980P489","8_0976.leaf","8_0976","leaf","ecotypes","2008","2011","3","Mah","field","JAM.1.A","JAM","8_21","p205","M1980","Ecotypes",2.69305213484086
